,Old Name,New Name,Flag system,Name Plot
0,Unnamed: 0,Unnamed: 0,0,Unnamed: 0
1,nb_neighbours_time_0,nb_neighbours_t0,0,nb_neighbours_t0
2,nb_neighbours_time_1,nb_neighbours_t1,0,nb_neighbours_t1
3,nb_neighbours_time_2,nb_neighbours_t2,0,nb_neighbours_t2
4,nb_neighbours_time_3,nb_neighbours_t3,0,nb_neighbours_t3
5,nb_neighbours_time_4,nb_neighbours_t4,0,nb_neighbours_t4
6,nb_neighbours_time_5,nb_neighbours_t5,0,nb_neighbours_t5
7,nb_neighbours_time_6,nb_neighbours_t6,0,nb_neighbours_t6
8,nb_neighbours_time_7,nb_neighbours_t7,0,nb_neighbours_t7
9,nb_neighbours_time_8,nb_neighbours_t8,0,nb_neighbours_t8
10,nb_neighbours_time_9,nb_neighbours_t9,0,nb_neighbours_t9
11,number_of_active_neighbour_time_0,number_of_active_neighbour_t0,0,number_of_active_neighbour_t0
12,number_of_active_neighbour_time_1,number_of_active_neighbour_t1,0,number_of_active_neighbour_t1
13,number_of_active_neighbour_time_2,number_of_active_neighbour_t2,0,number_of_active_neighbour_t2
14,number_of_active_neighbour_time_3,number_of_active_neighbour_t3,0,number_of_active_neighbour_t3
15,number_of_active_neighbour_time_4,number_of_active_neighbour_t4,0,number_of_active_neighbour_t4
16,number_of_active_neighbour_time_5,number_of_active_neighbour_t5,0,number_of_active_neighbour_t5
17,number_of_active_neighbour_time_6,number_of_active_neighbour_t6,0,number_of_active_neighbour_t6
18,number_of_active_neighbour_time_7,number_of_active_neighbour_t7,0,number_of_active_neighbour_t7
19,number_of_active_neighbour_time_8,number_of_active_neighbour_t8,0,number_of_active_neighbour_t8
20,number_of_active_neighbour_time_9,number_of_active_neighbour_t9,0,number_of_active_neighbour_t9
21,mean_position_neighbour_time_0,mean_position_neighbour_t0,0,mean_position_neighbour_t0
22,mean_position_neighbour_time_1,mean_position_neighbour_t1,0,mean_position_neighbour_t1
23,mean_position_neighbour_time_2,mean_position_neighbour_t2,0,mean_position_neighbour_t2
24,mean_position_neighbour_time_3,mean_position_neighbour_t3,0,mean_position_neighbour_t3
25,mean_position_neighbour_time_4,mean_position_neighbour_t4,0,mean_position_neighbour_t4
26,mean_position_neighbour_time_5,mean_position_neighbour_t5,0,mean_position_neighbour_t5
27,mean_position_neighbour_time_6,mean_position_neighbour_t6,0,mean_position_neighbour_t6
28,mean_position_neighbour_time_7,mean_position_neighbour_t7,0,mean_position_neighbour_t7
29,mean_position_neighbour_time_8,mean_position_neighbour_t8,0,mean_position_neighbour_t8
30,mean_position_neighbour_time_9,mean_position_neighbour_t9,0,mean_position_neighbour_t9
31,min_position_neighbour_time_0,min_position_neighbour_t0,0,min_position_neighbour_t0
32,min_position_neighbour_time_1,min_position_neighbour_t1,0,min_position_neighbour_t1
33,min_position_neighbour_time_2,min_position_neighbour_t2,0,min_position_neighbour_t2
34,min_position_neighbour_time_3,min_position_neighbour_t3,0,min_position_neighbour_t3
35,min_position_neighbour_time_4,min_position_neighbour_t4,0,min_position_neighbour_t4
36,min_position_neighbour_time_5,min_position_neighbour_t5,0,min_position_neighbour_t5
37,min_position_neighbour_time_6,min_position_neighbour_t6,0,min_position_neighbour_t6
38,min_position_neighbour_time_7,min_position_neighbour_t7,0,min_position_neighbour_t7
39,min_position_neighbour_time_8,min_position_neighbour_t8,0,min_position_neighbour_t8
40,min_position_neighbour_time_9,min_position_neighbour_t9,0,min_position_neighbour_t9
41,average_age_neighbour_time_0,average_age_neighbour_t0,0,average_age_neighbour_t0
42,average_age_neighbour_time_1,average_age_neighbour_t1,0,average_age_neighbour_t1
43,average_age_neighbour_time_2,average_age_neighbour_t2,0,average_age_neighbour_t2
44,average_age_neighbour_time_3,average_age_neighbour_t3,0,average_age_neighbour_t3
45,average_age_neighbour_time_4,average_age_neighbour_t4,0,average_age_neighbour_t4
46,average_age_neighbour_time_5,average_age_neighbour_t5,0,average_age_neighbour_t5
47,average_age_neighbour_time_6,average_age_neighbour_t6,0,average_age_neighbour_t6
48,average_age_neighbour_time_7,average_age_neighbour_t7,0,average_age_neighbour_t7
49,average_age_neighbour_time_8,average_age_neighbour_t8,0,average_age_neighbour_t8
50,average_age_neighbour_time_9,average_age_neighbour_t9,0,average_age_neighbour_t9
51,max_age_neighbour_time_0,max_age_neighbour_t0,0,max_age_neighbour_t0
52,max_age_neighbour_time_1,max_age_neighbour_t1,0,max_age_neighbour_t1
53,max_age_neighbour_time_2,max_age_neighbour_t2,0,max_age_neighbour_t2
54,max_age_neighbour_time_3,max_age_neighbour_t3,0,max_age_neighbour_t3
55,max_age_neighbour_time_4,max_age_neighbour_t4,0,max_age_neighbour_t4
56,max_age_neighbour_time_5,max_age_neighbour_t5,0,max_age_neighbour_t5
57,max_age_neighbour_time_6,max_age_neighbour_t6,0,max_age_neighbour_t6
58,max_age_neighbour_time_7,max_age_neighbour_t7,0,max_age_neighbour_t7
59,max_age_neighbour_time_8,max_age_neighbour_t8,0,max_age_neighbour_t8
60,max_age_neighbour_time_9,max_age_neighbour_t9,0,max_age_neighbour_t9
61,long_lived_neighbour_detected_time_0,long_tt0,0,long_tt0
62,long_lived_neighbour_detected_time_1,long_tt1,0,long_tt1
63,long_lived_neighbour_detected_time_2,long_tt2,0,long_tt2
64,long_lived_neighbour_detected_time_3,long_tt3,0,long_tt3
65,long_lived_neighbour_detected_time_4,long_tt4,0,long_tt4
66,long_lived_neighbour_detected_time_5,long_tt5,0,long_tt5
67,long_lived_neighbour_detected_time_6,long_tt6,0,long_tt6
68,long_lived_neighbour_detected_time_7,long_tt7,0,long_tt7
69,long_lived_neighbour_detected_time_8,long_tt8,0,long_tt8
70,long_lived_neighbour_detected_time_9,long_tt9,0,long_tt9
71, mean_interaction_power_time_0, mean_interaction_power_t0,0, mean_interaction_power_t0
72, mean_interaction_power_time_1, mean_interaction_power_t1,0, mean_interaction_power_t1
73, mean_interaction_power_time_2, mean_interaction_power_t2,0, mean_interaction_power_t2
